Unnamed: 0,ZIPcode,TaxRateArea_CITY,AIN,RollYear,TaxRateArea,AssessorID,PropertyLocation,PropertyType,PropertyUseCode,GeneralUseType,SpecificUseType,SpecificUseDetail1,SpecificUseDetail2,totBuildingDataLines,YearBuilt,EffectiveYearBuilt,SQFTmain,Bedrooms,Bathrooms,Units,RecordingDate,LandValue,LandBaseYear,ImprovementValue,ImpBaseYear,TotalLandImpValue,HomeownersExemption,RealEstateExemption,FixtureValue,FixtureExemption,PersonalPropertyValue,PersonalPropertyExemption,isTaxableParcel?,TotalValue,TotalExemption,netTaxableValue,SpecialParcelClassification,AdministrativeRegion,Cluster,ParcelBoundaryDescription,HouseNo,HouseFraction,StreetDirection,StreetName,UnitNo,City,ZIPcode5,rowID,CENTER_LAT,CENTER_LON,Location 1
294472,91042-2723,LOS ANGELES,2571006025,2020,13,2571-006-025,6225 FOOTHILL BLVD  LOS ANGELES CA  91042,C/I,2100,Commercial,"Restaurant, Cocktail Lounge","Restaurant, Cocktail Lounge, Tavern",One Story,1,1974,1974,777,0,0,0,19730305,127533.0,1975,94481.0,1975,222014.0,0.0,0.0,75492.0,0.0,46113.0,0.0,Y,343619.0,0.0,343619.0,,24,24653,TRACT NO 19399 SE 47.5 FT MEASURED ON NE LINE OF LOT 26 AND SE 33.95 FT MEASURED ON SW LINE OF LOT 27 AND ALL OF LOT   28,6225,,,FOOTHILL BLVD,,LOS ANGELES CA,91042.0,20202571006025,34.24111121,-118.26652124,"(34.24111121, -118.26652124)"
312686,91340-4121,LOS ANGELES,2613027020,2020,8859,2613-027-020,11455 LAUREL CANYON BLVD  LOS ANGELES CA  91340,C/I,2100,Commercial,"Restaurant, Cocktail Lounge","Restaurant, Cocktail Lounge, Tavern",One Story,1,2015,2015,3735,0,0,1,20111219,410218.0,1975,1033985.0,2016,1444203.0,0.0,0.0,396538.0,0.0,167438.0,0.0,Y,2008179.0,0.0,2008179.0,,24,24603,TRACT NO 25345 LOT    2,11455,,,LAUREL CANYON BLVD,,LOS ANGELES CA,91340.0,20202613027020,34.2781115,-118.45334909,"(34.2781115, -118.45334909)"
323267,91402-3941,LOS ANGELES,2637018020,2020,13,2637-018-020,13651 ROSCOE BLVD  LOS ANGELES CA  91402,C/I,2100,Commercial,"Restaurant, Cocktail Lounge","Restaurant, Cocktail Lounge, Tavern",One Story,1,1971,1971,804,0,0,0,19710412,152419.0,1975,85611.0,1975,238030.0,0.0,0.0,83517.0,0.0,38363.0,0.0,Y,359910.0,0.0,359910.0,,24,24630,TRACT NO 16551   E 150 FT (MEASURED ON S LINE) OF LOT    1,13651,,,ROSCOE BLVD,,LOS ANGELES CA,91402.0,20202637018020,34.22200937,-118.4307368,"(34.22200937, -118.4307368)"
352952,91325-1904,LOS ANGELES,2686027001,2020,16,2686-027-001,9858 BALBOA BLVD  LOS ANGELES CA  91325,C/I,2120,Commercial,"Restaurant, Cocktail Lounge",Fast Food - Auto Oriented,One Story,1,1984,1984,1138,0,0,1,19780601,176231.0,1979,193150.0,1985,369381.0,0.0,0.0,86712.0,0.0,33040.0,0.0,Y,489133.0,0.0,489133.0,,24,24604,SUB # 1 OF THE PROPERTY OF THE PORTER LAND AND WATER CO W 160 FT OF N 160 FT EX OF STS OF LOT 1 IN SEC   19 T   2N R 15W,9858,,,BALBOA BLVD,,LOS ANGELES CA,91325.0,20202686027001,34.24995166,-118.50203646,"(34.24995166, -118.50203646)"
363861,91326-4140,LOS ANGELES,2701040014,2020,16,2701-040-014,19901 RINALDI ST  NORTHRIDGE CA  91326,C/I,2120,Commercial,"Restaurant, Cocktail Lounge",Fast Food - Auto Oriented,One Story,1,2003,2003,3547,0,0,0,20020415,37776.0,1982,726723.0,2004,764499.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,764499.0,0.0,764499.0,,28,28620,TR=52154 EX OF ST LOT 14,19901,,,RINALDI ST,,NORTHRIDGE CA,91326.0,20202701040014,34.27584409,-118.56813662,"(34.27584409, -118.56813662)"
399744,91324-3519,LOS ANGELES,2784003073,2020,16,2784-003-073,8830 TAMPA AVENUE  LOS ANGELES CA  91324,C/I,2120,Commercial,"Restaurant, Cocktail Lounge",Fast Food - Auto Oriented,One Story,1,2007,2007,3296,0,0,1,20060418,2967724.0,2006,680988.0,2008,3648712.0,0.0,0.0,188634.0,0.0,75390.0,0.0,Y,3912736.0,0.0,3912736.0,,24,24604,P M 337-80-81 EX OF ST LOT A,8830,,,TAMPA AVENUE,,LOS ANGELES CA,91324.0,20202784003073,34.23070145,-118.55299993,"(34.23070145, -118.55299993)"
420828,91350-2396,SANTA CLARITA,2811068028,2020,2764,2811-068-028,26401 BOUQUET CANYON RD  SANTA CLARITA CA  91350,C/I,2120,Commercial,"Restaurant, Cocktail Lounge",Fast Food - Auto Oriented,One Story,1,2003,2003,2898,0,2,1,20010315,1825614.0,2001,555194.0,2004,2380808.0,0.0,0.0,143601.0,0.0,89725.0,0.0,Y,2614134.0,0.0,2614134.0,,24,24627,"POR OF LOTS 14,30 AND 37 TR NO 51931-02 AND POR OF LOT 4 L S 27-32-39",26401,,,BOUQUET CANYON RD,,SANTA CLARITA CA,91350.0,20202811068028,34.42558229,-118.53915555,"(34.42558229, -118.53915555)"
433246,,unincorporated,2826039032,2020,15098,2826-039-032,,C/I,2700,Commercial,Parking Lot (Commercial Use Property),Lots - Patron or Employee,One Story,0,0,0,0,0,0,0,19871016,407584.0,1988,0.0,1989,407584.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,407584.0,0.0,407584.0,,24,24627,P M 198-79-85 THAT POR IN TRA 6634 OF LOT 7,0,,,,,,,20202826039032,34.37701361,-118.56549128,"(34.37701361, -118.56549128)"
444811,91387-5319,SANTA CLARITA,2840008031,2020,2694,2840-008-031,28368 SAND CANYON RD  SANTA CLARITA CA  91387,C/I,2120,Commercial,"Restaurant, Cocktail Lounge",Fast Food - Auto Oriented,One Story,1,1995,1995,2930,0,0,1,19950321,1111975.0,1995,724588.0,1996,1836563.0,0.0,0.0,211125.0,0.0,86107.0,0.0,Y,2133795.0,0.0,2133795.0,,24,24627,FOR DESC SEE ASSESSOR'S MAPS*POR OF NE 1/4 OF SEC   23 T   4N R 15W,28368,,,SAND CANYON RD,,SANTA CLARITA CA,91387.0,20202840008031,34.42342254,-118.42312229,"(34.42342254, -118.42312229)"
486791,93550-4513,PALMDALE,3009005037,2020,7098,3009-005-037,142 E PALMDALE BLVD  PALMDALE CA  93550,C/I,2120,Commercial,"Restaurant, Cocktail Lounge",Fast Food - Auto Oriented,One Story,1,1992,1992,2987,0,0,1,19970703,379600.0,1998,576709.0,1998,956309.0,0.0,0.0,170355.0,0.0,106524.0,0.0,Y,1233188.0,0.0,1233188.0,,24,24615,TR=51730 LOT 6,142,,E,PALMDALE BLVD,,PALMDALE CA,93550.0,20203009005037,34.57945084,-118.12800186,"(34.57945084, -118.12800186)"
572753,93536-7202,LANCASTER,3114013082,2020,4866,3114-013-082,2021 W AVENUE I  LANCASTER CA  93536,C/I,2120,Commercial,"Restaurant, Cocktail Lounge",Fast Food - Auto Oriented,One Story,1,1986,1986,4207,0,0,0,19840928,486613.0,1985,843670.0,1987,1330283.0,0.0,0.0,183350.0,0.0,75175.0,0.0,Y,1588808.0,0.0,1588808.0,,24,24606,"*LAND DESC IN DOC 0000109,740111 EX LAND DESC IN DOC 0135190,780203 *POR OF S 1/2 OF SE 1/4 OF SE 1/4 OF SE 1/4 OF SEC    8 T   7N R 12W",2021,,W,AVENUE I,,LANCASTER CA,93536.0,20203114013082,34.7046455,-118.16671439,"(34.7046455, -118.16671439)"
703378,90303-1218,INGLEWOOD,4025020008,2020,4596,4025-020-008,3411 W CENTURY BLVD  INGLEWOOD CA  90303,C/I,1500,Commercial,"Shopping Center (Neighborhood, Community)",,One Story,1,2002,2002,3164,0,0,0,20010824,1458869.0,2002,614478.0,2003,2073347.0,0.0,0.0,123907.0,0.0,73814.0,0.0,Y,2271068.0,0.0,2271068.0,,28,28623,TR=53335 EX OF ST LOT 8,3411,,W,CENTURY BLVD,,INGLEWOOD CA,90303.0,20204025020008,33.94586279,-118.33222453,"(33.94586279, -118.33222453)"
765691,90045-4803,LOS ANGELES,4122024048,2020,68,4122-024-048,9139 S SEPULVEDA BLVD  WESTCHESTER CA  90045,C/I,2100,Commercial,"Restaurant, Cocktail Lounge","Restaurant, Cocktail Lounge, Tavern",One Story,2,1996,1996,3139,0,0,0,20070208,999128.0,1997,514535.0,1997,1513663.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,1513663.0,0.0,1513663.0,,25,25627,"TR=14011 VAC ALLEY AND S 35 FT EX OF ST LOT 25,EX OF ST LOT 24,EX OF STS LOT 23",9139,,S,SEPULVEDA BLVD,,WESTCHESTER CA,90045.0,20204122024048,33.95366273,-118.39673517,"(33.95366273, -118.39673517)"
772775,90278-1111,REDONDO BEACH,4149005039,2020,8061,4149-005-039,3801 INGLEWOOD AVE  REDONDO BEACH CA  90278,C/I,2100,Commercial,"Restaurant, Cocktail Lounge","Restaurant, Cocktail Lounge, Tavern",One Story,2,1993,1994,2643,0,0,0,19970531,1340317.0,1997,446764.0,1997,1787081.0,0.0,0.0,178105.0,0.0,103566.0,0.0,Y,2068752.0,0.0,2068752.0,,28,28722,P.M 28-86 EX OF STS LOT 2,3801,,,INGLEWOOD AVE,,REDONDO BEACH CA,90278.0,20204149005039,33.89212406,-118.36169547,"(33.89212406, -118.36169547)"
780610,90245-3422,EL SEGUNDO,4138006008,2020,9851,4138-006-008,600 N SEPULVEDA BLVD  EL SEGUNDO CA  90245,C/I,1500,Commercial,"Shopping Center (Neighborhood, Community)",,One Story,2,1990,2015,37666,0,0,0,19930325,5944723.0,1993,6174381.0,1993,12119104.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,12119104.0,0.0,12119104.0,,26,26681,SUB OF PART OF THE SAUSAL REDONDO RANCHO   LOT COM N0¢00'20'' W 40 FT AND E ON N LINE OF MARIPOSA AVE 45.06 FT FROM SW COR OF NW 1/4 OF SEC 7 T 3S R 14W TH W ON SD N LINE 403.83 FT TH N 0¢00'20'' W 358.09 FT TH N 89¢58'02'' W 423.81 FT TH S 0¢ 04'12'' E 338.22 FT TH SE ON A CURVE CONCAVE TO NE (R=20 FT) 31.38 FT TO BEG  PART OF NW 1/4 OF SEC    7 T   3S R 14W,600,,N,SEPULVEDA BLVD,,EL SEGUNDO CA,90245.0,20204138006008,33.92423135,-118.39537229,"(33.92423135, -118.39537229)"
848587,90230,CULVER CITY,4236029007,2020,12463,4236-029-007,13425 WASHINGTON BLVD  CULVER CITY CA  90230,C/I,2120,Commercial,"Restaurant, Cocktail Lounge",Fast Food - Auto Oriented,One Story,1,1999,1999,3472,0,0,1,19981218,1791857.0,1999,85716.0,2000,1877573.0,0.0,0.0,142014.0,0.0,72668.0,0.0,Y,2092255.0,0.0,2092255.0,,28,28623,P M 284-74-75 LOT 6,13425,,,WASHINGTON BLVD,,CULVER CITY CA,90230.0,20204236029007,33.99171158,-118.4460759,"(33.99171158, -118.4460759)"
902289,90034-3324,LOS ANGELES,4313021084,2020,67,4313-021-084,9201 VENICE BLVD  LOS ANGELES CA  90034,C/I,1500,Commercial,"Shopping Center (Neighborhood, Community)",,One Story,4,1989,1989,14993,0,2,2,19880315,2877579.0,1988,1713587.0,1988,4591166.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,4591166.0,0.0,4591166.0,,25,25691,TR=2444 LOTS 16 THRU 23 AND EX OF STS LOTS 15 AND 24 BLK 2,9201,,,VENICE BLVD,,LOS ANGELES CA,90034.0,20204313021084,34.02656775,-118.3939819,"(34.02656775, -118.3939819)"
947251,90024-2806,LOS ANGELES,4363017006,2020,67,4363-017-006,922 GAYLEY AVE  LOS ANGELES CA  90024,C/I,2100,Commercial,"Restaurant, Cocktail Lounge","Restaurant, Cocktail Lounge, Tavern",One Story,1,1996,1996,3729,0,0,1,19970214,381099.0,1997,933750.0,1997,1314849.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,1314849.0,0.0,1314849.0,,23,23682,TRACT NO 9650   (EX OF ST) LOTS 1 AND LOT    2,922,,,GAYLEY AVE,,LOS ANGELES CA,90024.0,20204363017006,34.06309516,-118.44800824,"(34.06309516, -118.44800824)"
983200,91361-5307,unincorporated,4472001017,2020,12923,4472-001-017,800 E CARLISLE RD  THOUSAND OAKS CA  91361,C/I,1920,Commercial,Professional Building,"Veterinary Hospital, Clinic",One Story,2,1976,1976,4691,2,3,2,20190904,1200000.0,2020,400000.0,2020,1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,1600000.0,0.0,1600000.0,,7,7050,"*LAND DESC IN DOC 0003679, 75-9-25 *TR=PORTION OF PARTITION OF RANCHO EL CONEJO*POR OF TR NO 2 HW MILLS 22240.44 ACS ALLOT",800,,E,CARLISLE RD,,THOUSAND OAKS CA,91361.0,20204472001017,34.12297573,-118.86099873,"(34.12297573, -118.86099873)"
991268,90265-2364,unincorporated,4472016012,2020,8634,4472-016-012,35375 MULHOLLAND HWY  MALIBU CA  90265,C/I,6800,Recreational,Camp,,One Story,0,0,0,0,0,0,0,20190118,1872720.0,2018,104.0,2018,1872824.0,0.0,1872824.0,0.0,0.0,0.0,0.0,Y,1872824.0,1872824.0,0.0,,25,25698,39.04 ACS BEING EX OF RD SW 1/4 OF SE 1/4 OF SEC   13 T   1S R 20W,35375,,,MULHOLLAND HWY,,MALIBU CA,90265.0,20204472016012,34.07647111,-118.9268396,"(34.07647111, -118.9268396)"
1161362,91755,MONTEREY PARK,5275003039,2020,6361,5275-003-039,4000 MARKET PLACE DRIVE  MONTEREY PARK CA  91755,C/I,1500,Commercial,"Shopping Center (Neighborhood, Community)",,One Story,3,2018,2019,19497,0,0,6,20180320,1062037.0,2016,7548000.0,2019,8610037.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,8610037.0,0.0,8610037.0,,28,28627,TR=71549 LOT 6 AND POR OF LOTS 4 AND 5,4000,,,MARKET PLACE DRIVE,,MONTEREY PARK CA,91755.0,20205275003039,34.03659058,-118.09859467,"(34.03659058, -118.09859467)"
1187680,91801-1050,ALHAMBRA,5322011075,2020,1797,5322-011-075,1204 N ATLANTIC BLVD  ALHAMBRA CA  91801,C/I,2120,Commercial,"Restaurant, Cocktail Lounge",Fast Food - Auto Oriented,One Story,1,1997,1997,2870,0,0,0,19950727,49507.0,1975,386364.0,1997,435871.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,435871.0,0.0,435871.0,,27,27630,STONEMAN TRACT EX OF ST LOT 9 BLK 2,1204,,N,ATLANTIC BLVD,,ALHAMBRA CA,91801.0,20205322011075,34.10590438,-118.13436983,"(34.10590438, -118.13436983)"
1233111,91770-4403,ROSEMEAD,5391016003,2020,12830,5391-016-003,4246 ROSEMEAD BLVD  ROSEMEAD CA  91770,C/I,2700,Commercial,Parking Lot (Commercial Use Property),Lots - Patron or Employee,One Story,1,1954,1954,80,0,0,1,19660331,1999.0,1975,10673.0,1975,12672.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,12672.0,0.0,12672.0,,30,27631,TRACT NO 1812 LOT EX OF ST COM N 69¢54' 10'' W 129.29 FT FROM NW COR OF LOT 123 TR NO 5165 TH N 69¢54'10'' W 34 FT TH S 14¢27'25'' W 61.12 FT TH S 71¢14'35'' E 51.03 FT TH N 0¢57'05'' W 63.9 FT TO BEG PART OF LOT    4,4246,,,ROSEMEAD BLVD,,ROSEMEAD CA,91770.0,20205391016003,34.08394206,-118.07290292,"(34.08394206, -118.07290292)"
1315926,90028-7509,LOS ANGELES,5548013027,2020,200,5548-013-027,7009 W SUNSET BLVD  LOS ANGELES CA  90028,C/I,2110,Commercial,"Restaurant, Cocktail Lounge",Fast Food - Walk Up,One Story,1,1994,1994,3085,0,0,0,20050121,2237850.0,1994,724929.0,1994,2962779.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,2962779.0,0.0,2962779.0,,25,25655,"HOLLYMAR TRACT LOTS 11,12 AND EX OF STS LOT 13",7009,,W,SUNSET BLVD,,LOS ANGELES CA,90028.0,20205548013027,34.09838539,-118.34178787,"(34.09838539, -118.34178787)"
1366801,91210-1204,GLENDALE,5642001923,2020,4032,5642-001-923,200 W BROADWAY  GLENDALE CA  91210,C/I,1600,Commercial,Shopping Center (Regional),,One Story,0,0,0,0,0,0,0,19820630,0.0,1983,0.0,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,0.0,Public (non-taxable government-owned),28,28626,"*TR=C F COMPTON TR*S 2.65 FT (EX OF AIR SPACE) OF LOT 3 AND (EX OF AIR SPACE) LOTS 4, 5 AND LOT    6",200,,W,BROADWAY,,GLENDALE CA,91210.0,20205642001923,34.14555548,-118.2554705,"(34.14555548, -118.2554705)"
1373530,91206-4100,GLENDALE,5661019001,2020,4045,5661-019-001,300 HARVEY DR  GLENDALE CA  91206,C/I,2100,Commercial,"Restaurant, Cocktail Lounge","Restaurant, Cocktail Lounge, Tavern",One Story,2,1986,2001,13987,0,0,0,20000414,1746884.0,2000,2706517.0,2002,4453401.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,4453401.0,0.0,4453401.0,,24,24633,POR TR NO 4661 M B 52-36 AND POR MARY A NIEMEYER TR M B 10-165,300,,,HARVEY DR,,GLENDALE CA,91206.0,20205661019001,34.14834285,-118.22747735,"(34.14834285, -118.22747735)"
1417849,91107-3224,PASADENA,5746012002,2020,7500,5746-012-002,2114 E FOOTHILL BLVD  PASADENA CA  91107,C/I,2100,Commercial,"Restaurant, Cocktail Lounge","Restaurant, Cocktail Lounge, Tavern",One Story,1,1952,1955,840,0,0,0,19720508,85163.0,1975,26775.0,1975,111938.0,0.0,0.0,85914.0,0.0,44809.0,0.0,Y,242661.0,0.0,242661.0,,27,27615,MOUNTAIN VIEW PLACE TRACT LOT COM AT SW COR OF LOT 3 TH N 0¢02' E 97.48 FT TO SW LINE OF FOOTHILL BLVD TH SE THEREON 125 FT TH S 0¢02' W TO S LINE OF SD LOT TH N 89¢50' W TO BEG PART OF LOTS 2 AND LOT    3,2114,,E,FOOTHILL BLVD,,PASADENA CA,91107.0,20205746012002,34.14948511,-118.10680628,"(34.14948511, -118.10680628)"
1436366,91006-2843,ARCADIA,5773002055,2020,1905,5773-002-055,420 N SANTA ANITA AVE  ARCADIA CA  91006,C/I,2100,Commercial,"Restaurant, Cocktail Lounge","Restaurant, Cocktail Lounge, Tavern",One Story,1,1980,1980,1223,0,0,0,20041020,566817.0,1983,299775.0,1983,866592.0,0.0,0.0,90040.0,0.0,55913.0,0.0,Y,1012545.0,0.0,1012545.0,,27,27801,"A PART OF ARCADIA SANTA ANITA TRACT LOTS 32,33 AND EX OF STS LOT 34 BLK 82",420,,N,SANTA ANITA AVE,,ARCADIA CA,91006.0,20205773002055,34.14521037,-118.03112146,"(34.14521037, -118.03112146)"
1549963,90248-3220,GARDENA,6106010114,2020,576,6106-010-114,1701 W ARTESIA BLVD  GARDENA CA  90248,C/I,2100,Commercial,"Restaurant, Cocktail Lounge","Restaurant, Cocktail Lounge, Tavern",One Story,1,2015,2015,3666,0,2,1,20130822,2241789.0,2014,993671.0,2016,3235460.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,3235460.0,0.0,3235460.0,,26,26640,TR=52273 LOT 4 AND E 140 FT OF LOT 3,1701,,W,ARTESIA BLVD,,GARDENA CA,90248.0,20206106010114,33.87318791,-118.30776309,"(33.87318791, -118.30776309)"
